Date,Unlocks,Minutes
"July 20, 2018 at 10:00PM",38,113.75
"July 21, 2018 at 10:00PM",51,131.6
"July 22, 2018 at 10:00PM",25,152.283
"July 23, 2018 at 10:00PM",44,93
"July 24, 2018 at 10:00PM",27,86.717
"July 25, 2018 at 10:00PM",54,77.433
"July 26, 2018 at 10:00PM",48,125.367
"July 27, 2018 at 10:00PM",34,101.083
"July 28, 2018 at 10:00PM",54,103.633
"July 29, 2018 at 10:00PM",33,129.783
"July 30, 2018 at 10:00PM",53,82.483
"July 31, 2018 at 10:00PM",36,140.55
"August 1, 2018 at 10:00PM",35,58.233
"August 2, 2018 at 10:00PM",40,59.933
"August 3, 2018 at 10:00PM",57,112.7
"August 4, 2018 at 10:00PM",59,109.967
"August 5, 2018 at 10:00PM",57,189.117
"August 6, 2018 at 10:00PM",47,94.9
"August 7, 2018 at 10:00PM",29,64.517
"August 8, 2018 at 10:00PM",45,79.05
"August 9, 2018 at 10:00PM",51,87.483
"August 10, 2018 at 10:00PM",65,186.45
"August 11, 2018 at 10:00PM",49,102.583
"August 12, 2018 at 10:00PM",86,240.083
"August 13, 2018 at 10:00PM",41,101.967
"August 14, 2018 at 10:00PM",35,95.35
"August 15, 2018 at 10:00PM",33,84.6
"August 16, 2018 at 10:00PM",52,158.883
"August 17, 2018 at 10:00PM",59,95.683
"August 18, 2018 at 11:00PM",79,97.067
"August 19, 2018 at 11:00PM",48,140.55
"August 21, 2018 at 12:00AM",42,76.767
"August 22, 2018 at 12:00AM",31,80.467
"August 23, 2018 at 12:00AM",40,158.4
